               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 151,              0.0879,             0.12809,                   0,             0.92029,             0.85062,             0.91016,             0.40254,             0.07733,             0.13686,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.088118,             0.12924,                   0,             0.93157,             0.84728,             0.90991,             0.41716,            0.076861,             0.13628,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.088358,             0.12521,                   0,             0.91275,             0.84544,             0.91087,             0.43047,            0.076341,             0.13687,                   0,            0.002476,            0.002476,            0.002476
                 154,             0.08647,             0.12381,                   0,              0.9165,             0.84129,             0.91158,             0.42722,            0.076284,             0.13707,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.085774,             0.12421,                   0,             0.93063,             0.83495,             0.91102,             0.44279,              0.0758,              0.1361,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.088329,             0.12989,                   0,             0.91285,             0.82573,             0.89713,              0.3952,            0.077876,             0.13966,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.087006,             0.12406,                   0,             0.91098,             0.82573,             0.89428,             0.40029,            0.077707,             0.14032,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.085369,             0.12315,                   0,             0.92215,             0.83091,             0.90778,             0.38121,            0.078562,             0.13793,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.089029,             0.12751,                   0,             0.92029,             0.83402,             0.90408,             0.41485,            0.077045,             0.13895,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.089299,             0.13255,                   0,             0.92621,             0.85937,             0.92373,             0.41626,            0.077342,             0.13556,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.086264,             0.12093,                   0,             0.92965,             0.83506,             0.91204,             0.39808,            0.077594,             0.13889,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.086319,             0.12743,                   0,             0.92802,             0.84025,             0.91034,             0.41955,            0.076448,             0.13715,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.086457,             0.12708,                   0,             0.91812,             0.84959,             0.91362,             0.41154,            0.076931,             0.13732,                   0,            0.001981,            0.001981,            0.001981
                 164,            0.088419,             0.12823,                   0,             0.92076,             0.84751,             0.91033,             0.41016,            0.077565,             0.13773,                   0,           0.0019315,           0.0019315,           0.0019315
                 165,            0.087369,             0.12499,                   0,             0.91876,              0.8444,             0.91056,             0.42207,            0.076463,             0.13866,                   0,            0.001882,            0.001882,            0.001882
                 166,            0.087336,             0.12678,                   0,             0.91897,             0.84025,             0.91111,             0.42636,            0.076603,             0.13693,                   0,           0.0018325,           0.0018325,           0.0018325
